SPCC1672.08c	SPAC23G3.01	PMID:15743411
SPCP1E11.04c	SPAC688.11	PMID:15975911
SPCC576.15c	SPAC17G8.14c	PMID:14625898
SPCC1739.11c	SPAC6F6.08c	PMID:15062098
SPCC1739.03	SPCC736.11	PMID:15607976
SPCC18.04	SPBC27B12.08	PMID:19243310
SPCC18.04	SPBC409.05	PMID:19243310
SPCC18.04	SPBC409.05	PMID:12511573
SPCC1223.10c	SPBP23A10.14c	PMID:17150956
SPCC1223.06	SPCC895.05	PMID:15184402
SPCC1223.06	SPAC3C7.12	PMID:15184402
SPCC417.07c	SPBC902.06	PMID:15837798
SPCC188.07	SPAC6F6.16c	PMID:18535244
SPCC188.04c	SPBC336.08	PMID:15728720
SPCC338.05c	SPAC11E3.04c	PMID:12531016
SPCC338.16	SPBC409.05	PMID:15147268
SPCC1322.12c	SPAC23H3.08c	PMID:15525673
SPCC23B6.03c	SPBC6B1.09c	PMID:15964794
SPCC645.05c	SPAP8A3.08	PMID:11069761
SPCC645.04	SPAC14C4.02c	PMID:16478984
SPCC550.13	SPBC216.06c	PMID:16263721
SPCC550.13	SPAC664.01c	PMID:14625560
SPCC1259.13	SPCC1795.11	PMID:11711540
SPCC895.05	SPAC23C4.08	PMID:12415007
SPCC895.05	SPAC110.03	PMID:12415007
SPCC1795.11	SPCC1259.13	PMID:11711540
SPCC16A11.14	SPBC12D12.01	PMID:14655046
SPCC1020.10	SPBC1683.13c	PMID:20404084
SPCC1020.10	SPCC736.11	PMID:20404084
SPCC16C4.18c	SPCC5E4.03c	PMID:11972332
SPCC16C4.11	SPAC19E9.03	PMID:10982385
SPCC5E4.06	SPBC651.10	PMID:16478984
SPCC5E4.06	SPAC11E3.08c	PMID:16478984
SPCC5E4.03c	SPCC16C4.18c	PMID:11972332
SPCC1183.12	SPBC16C6.14	PMID:18367542
SPCC1672.10	SPAPB1A10.02	PMID:19217403
SPCC1672.10	SPCC970.12	PMID:15369671
SPCC1672.08c	SPBC19C2.03	PMID:15743411
SPAC30.03c	SPCC736.09c	PMID:16043634
SPAC23D3.06c	SPAC3G6.02	PMID:15990877
SPAC23D3.06c	SPBC1921.03c	PMID:14963046
SPAC27F1.04c	SPBC11C11.03	PMID:15728720
SPAC27F1.04c	SPCC364.02c	PMID:11751918
SPAC25G10.03	SPAC57A10.05c	PMID:15660136
SPAC2C4.15c	SPAC1565.08	PMID:15120077
SPAC1F7.08	SPAC1F7.07c	PMID:10593913
SPAC1F7.07c	SPAC1F7.08	PMID:10593913
SPAC1F7.04	SPAC17G8.14c	PMID:10504305
SPAC1F7.03	SPAC1F7.04	PMID:15537393
SPAC694.06c	SPCC18B5.11c	PMID:14585996
SPAC26H5.06	SPAC6F6.16c	PMID:18535244
SPAC19G12.15c	SPBC660.07	PMID:12383265
SPAC19G12.13c	SPBC1778.02	PMID:18535244
SPAC19G12.13c	SPAC6F6.16c	PMID:18535244
SPAC19G12.01c	SPAC959.09c	PMID:16950791
SPAPJ698.02c	SPBC18E5.06	PMID:14623272
SPAC27E2.05	SPBC16D10.04c	PMID:10880469
SPAC27E2.05	SPBC1734.02c	PMID:8887553
SPAC27E2.05	SPBC336.04	PMID:8887553
SPAC15A10.16	SPAC637.12c	PMID:18505873
SPAC15A10.16	SPCC1223.06	PMID:11516644
SPAC1142.03c	SPAC644.14c	PMID:14663140
SPAC1142.03c	SPBC409.03	PMID:14663140
SPAC17G6.17	SPBC409.05	PMID:15147268
SPAC17G6.14c	SPBC1D7.04	PMID:15990877
SPAC17G6.14c	SPBC16A3.05c	PMID:15990877
SPAC17A2.13c	SPAC22F8.11	PMID:9613582
SPAC17A2.13c	SPBC1D7.05	PMID:12242289
SPAC1B1.03c	SPAC30D11.04c	PMID:17615301
SPAC16E8.09	SPAC637.07	PMID:9892665
SPAC328.03	SPBC660.07	PMID:12383265
SPAC3H5.06c	SPBC1734.02c	PMID:15579205
SPAC959.09c	SPAC19G12.01c	PMID:16950791
SPAC8E11.02c	SPAC1782.09c	PMID:16085489
SPAC8E11.02c	SPCC1259.13	PMID:12415000
SPAC8E11.02c	SPBC1D7.05	PMID:12242289
SPAC26A3.02	SPBC16D10.09	PMID:11805113
SPAC26A3.02	SPAC664.07c	PMID:15533944
SPAC26A3.02	SPAC20G4.04c	PMID:15533944
